央视频道,#genre#
四川卫视,http://115.207.33.107:9999/udp/233.50.200.118:5140
四川卫视,http://115.207.33.107:9999/udp/233.50.201.61:5140
天津卫视,http://115.207.33.107:9999/udp/233.50.200.104:5140
天津卫视,http://115.207.33.107:9999/udp/233.50.201.47:5140
安徽卫视,http://115.207.33.107:9999/udp/233.50.200.106:5140
山东卫视,http://115.207.33.107:9999/udp/233.50.201.64:5140
河北卫视,http://115.207.33.107:9999/udp/233.50.201.50:5140
河南卫视,http://115.207.33.107:9999/udp/233.50.201.44:5140
深圳卫视,http://115.207.33.107:9999/udp/233.50.200.188:5140
贵州卫视,http://115.207.33.107:9999/udp/233.50.201.142:5140
贵州卫视,http://115.207.33.107:9999/udp/233.50.201.69:5140
重庆卫视,http://115.207.33.107:9999/udp/233.50.201.66:5140
重庆卫视,http://115.207.33.107:9999/udp/233.50.200.114:5140
山西卫视,http://115.207.33.107:9999/udp/233.50.201.51:5140
西藏卫视,http://115.207.33.107:9999/udp/233.50.201.70:5140
辽宁卫视,http://115.207.33.107:9999/udp/233.50.201.60:5140
黑江卫视,http://115.207.33.107:9999/udp/233.50.200.189:5140
黑江卫视,http://115.207.33.107:9999/udp/233.50.201.115:5140
黑江卫视,http://115.207.33.107:9999/udp/233.50.201.42:5140
宁夏卫视,http://115.207.33.107:9999/udp/233.50.201.57:5140
广西卫视,http://115.207.33.107:9999/udp/233.50.201.49:5140
云南卫视,http://115.207.33.107:9999/udp/233.50.200.115:5140







儿少频道,#genre#
GOOD卡通,https://dqhxk7sbp7xog.cloudfront.net/osmflivech45.m3u8
动画1,http://37.27.111.214:8080/live/12/hls.m3u8
动画2,http://37.27.111.214:8080/live/22/hls.m3u8
KK,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225654/index.m3u8
KK,http://122.96.52.98:8006/JS_CUCC/G_KAKU.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV%2BjSmygd5J05CTlsCPT2Qd7El4iMNl0LfXN60kch0at8&p=GITV&area=JS_CUCC
kk,http://14.135.72.70:8888/rtp/239.121.4.53:8292
kk,http://www.akw323.com:9527/rtp/238.255.2.80:5999
金鹰卡通,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225653/index.m3u8
金鹰卡通,http://122.96.52.98:8006/JS_CUCC/G_JINYING.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV1RYr4qVzFlgAG%2FQvRkeOQD67I1TO8aYxU2OOn2O9P1h&p=GITV&area=JS_CUCC
金鹰卡通,http://14.135.72.70:8888/rtp/239.121.4.52:8286
金鹰卡通,http://www.akw323.com:9527/rtp/238.255.2.55:5999
嘉佳卡通,http://122.96.52.98:8006/JS_CUCC/G_JIAJIA.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV8LLPwnS5WUkOdhHgc5XUhhknaAaU1ZneM33O4nxNsRy&p=GITV&area=JS_CUCC
优漫卡通,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225656/index.m3u8
优漫卡通,http://122.96.52.98:8006/JS_CUCC/G_YOUMAN.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV%2FCBeOaNxE0s%2FA%2BDoRLlVB1knaAaU1ZneM33O4nxNsRy&p=GITV&area=JS_CUCC
优漫卡通,http://www.akw323.com:9527/rtp/238.255.2.57:5999
炫动卡通,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225657/index.m3u8
炫动卡通,http://122.96.52.98:8006/JS_CUCC/G_XUANDONG.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV%2BtavAt%2Bkwmaf8d%2FsUioWvfyvpPW8hxBd0Rtq%2Bwa619R&p=GITV&area=JS_CUCC





竞技体育,#genre#
江苏体育休闲,http://183.207.248.71/gitv/live1/G_JSTY/G_JSTY
江苏体育休闲,http://122.96.52.98:8006/JS_CUCC/G_JSTY.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV1NTwCjBcOU36noR2qwlgCvEl4iMNl0LfXN60kch0at8&p=GITV&area=JS_CUCC
江苏体育休闲,http://49.86.48.54:8888/rtp/239.49.8.117:8000
江苏体育休闲,http://ds.shixd.cn:5957/rtp/239.49.8.117:8000
咪咕体育1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226124/index.m3u8
咪咕体育2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226147/index.m3u8
咪咕体育3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226398/index.m3u8
咪咕体育4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226469/index.m3u8
咪咕体育5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226472/index.m3u8
精品体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225674/index.m3u8
精品体育,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225674/1.m3u8
精品体育,http://[2409:8087:1a0b:df::4004]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225674/index.m3u8
精品体育,https://epg.pw/stream/f7556eccd4ae06b0c2991fdc7a4f8388496559f728cc82459a8e50346040e226.m3u8
精品体育,https://epg.pw/stream/94ed0232b61ce8d89883160a4cdfbfc8f3225cae70ef8e17d93eec249a3c8ad6.m3u8
